"orderid","productid","productname","qty","orderdate","unitprice","custid","shipcountry"
10248,11,"Product QMVUN",12,"2006-07-04 00:00:00",14.0,"85","France"
10248,42,"Product RJVNM",10,"2006-07-04 00:00:00",9.8,"85","France"
10248,72,"Product GEEOO",5,"2006-07-04 00:00:00",34.8,"85","France"
10249,14,"Product PWCJB",9,"2006-07-05 00:00:00",18.6,"79","Germany"
10249,51,"Product APITJ",40,"2006-07-05 00:00:00",42.4,"79","Germany"
10250,41,"Product TTEEX",10,"2006-07-08 00:00:00",7.7,"34","Brazil"
10250,51,"Product APITJ",35,"2006-07-08 00:00:00",42.4,"34","Brazil"
10250,65,"Product XYWBZ",15,"2006-07-08 00:00:00",16.8,"34","Brazil"
10251,22,"Product CPHFY",6,"2006-07-08 00:00:00",16.8,"84","France"
10251,57,"Product OVLQI",15,"2006-07-08 00:00:00",15.6,"84","France"
10251,65,"Product XYWBZ",20,"2006-07-08 00:00:00",16.8,"84","France"
10252,20,"Product QHFFP",40,"2006-07-09 00:00:00",64.8,"76","Belgium"
10252,33,"Product ASTMN",25,"2006-07-09 00:00:00",2.0,"76","Belgium"
10252,60,"Product WHBYK",40,"2006-07-09 00:00:00",27.2,"76","Belgium"
10253,31,"Product XWOXC",20,"2006-07-10 00:00:00",10.0,"34","Brazil"
10253,39,"Product LSOFL",42,"2006-07-10 00:00:00",14.4,"34","Brazil"
10253,49,"Product FPYPN",40,"2006-07-10 00:00:00",16.0,"34","Brazil"
10254,24,"Product QOGNU",15,"2006-07-11 00:00:00",3.6,"14","Switzerland"
10254,55,"Product YYWRT",21,"2006-07-11 00:00:00",19.2,"14","Switzerland"
10254,74,"Product BKAZJ",21,"2006-07-11 00:00:00",8.0,"14","Switzerland"
10255,2,"Product RECZE",20,"2006-07-12 00:00:00",15.2,"68","Switzerland"
10255,16,"Product PAFRH",35,"2006-07-12 00:00:00",13.9,"68","Switzerland"
10255,36,"Product GMKIJ",25,"2006-07-12 00:00:00",15.2,"68","Switzerland"
10255,59,"Product UKXRI",30,"2006-07-12 00:00:00",44.0,"68","Switzerland"
10256,53,"Product BKGEA",15,"2006-07-15 00:00:00",26.2,"88","Brazil"
10256,77,"Product LUNZZ",12,"2006-07-15 00:00:00",10.4,"88","Brazil"
10257,27,"Product SMIOH",25,"2006-07-16 00:00:00",35.1,"35","Venezuela"
10257,39,"Product LSOFL",6,"2006-07-16 00:00:00",14.4,"35","Venezuela"
10257,77,"Product LUNZZ",15,"2006-07-16 00:00:00",10.4,"35","Venezuela"
10258,2,"Product RECZE",50,"2006-07-17 00:00:00",15.2,"20","Austria"
10258,5,"Product EPEIM",65,"2006-07-17 00:00:00",17.0,"20","Austria"
10258,32,"Product NUNAW",6,"2006-07-17 00:00:00",25.6,"20","Austria"
10259,21,"Product VJZZH",10,"2006-07-18 00:00:00",8.0,"13","Mexico"
10259,37,"Product EVFFA",1,"2006-07-18 00:00:00",20.8,"13","Mexico"
10260,41,"Product TTEEX",16,"2006-07-19 00:00:00",7.7,"56","Germany"
10260,57,"Product OVLQI",50,"2006-07-19 00:00:00",15.6,"56","Germany"
10260,62,"Product WUXYK",15,"2006-07-19 00:00:00",39.4,"56","Germany"
10260,70,"Product TOONT",21,"2006-07-19 00:00:00",12.0,"56","Germany"
10261,21,"Product VJZZH",20,"2006-07-19 00:00:00",8.0,"61","Brazil"
10261,35,"Product NEVTJ",20,"2006-07-19 00:00:00",14.4,"61","Brazil"
10262,5,"Product EPEIM",12,"2006-07-22 00:00:00",17.0,"65","USA"
10262,7,"Product HMLNI",15,"2006-07-22 00:00:00",24.0,"65","USA"
10262,56,"Product VKCMF",2,"2006-07-22 00:00:00",30.4,"65","USA"
10263,16,"Product PAFRH",60,"2006-07-23 00:00:00",13.9,"20","Austria"
10263,24,"Product QOGNU",28,"2006-07-23 00:00:00",3.6,"20","Austria"
10263,30,"Product LYERX",60,"2006-07-23 00:00:00",20.7,"20","Austria"
10263,74,"Product BKAZJ",36,"2006-07-23 00:00:00",8.0,"20","Austria"
10264,2,"Product RECZE",35,"2006-07-24 00:00:00",15.2,"24","Sweden"
10264,41,"Product TTEEX",25,"2006-07-24 00:00:00",7.7,"24","Sweden"
10265,17,"Product BLCAX",30,"2006-07-25 00:00:00",31.2,"7","France"
10265,70,"Product TOONT",20,"2006-07-25 00:00:00",12.0,"7","France"
10266,12,"Product OSFNS",12,"2006-07-26 00:00:00",30.4,"87","Finland"
10267,40,"Product YZIXQ",50,"2006-07-29 00:00:00",14.7,"25","Germany"
10267,59,"Product UKXRI",70,"2006-07-29 00:00:00",44.0,"25","Germany"
10267,76,"Product JYGFE",15,"2006-07-29 00:00:00",14.4,"25","Germany"
10268,29,"Product VJXYN",10,"2006-07-30 00:00:00",99.0,"33","Venezuela"
10268,72,"Product GEEOO",4,"2006-07-30 00:00:00",27.8,"33","Venezuela"
10269,33,"Product ASTMN",60,"2006-07-31 00:00:00",2.0,"89","USA"
10269,72,"Product GEEOO",20,"2006-07-31 00:00:00",27.8,"89","USA"
10270,36,"Product GMKIJ",30,"2006-08-01 00:00:00",15.2,"87","Finland"
10270,43,"Product ZZZHR",25,"2006-08-01 00:00:00",36.8,"87","Finland"
10271,33,"Product ASTMN",24,"2006-08-01 00:00:00",2.0,"75","USA"
10272,20,"Product QHFFP",6,"2006-08-02 00:00:00",64.8,"65","USA"
